vent_id,scene_id,observed,date,plume_latitude,plume_longitude,plume_id,emission_auto,emission_uncertainty_auto,qc_missing,qc_qc,qc
146,GAO20220428t154635p0000,True,2022-04-28,,,,0.0,50.0,none,,fail
146,GAO20220422t151917p0000,True,2022-04-22,,,,0.0,50.0,none,,fail
146,GAO20220422t150848p0000,True,2022-04-22,,,,0.0,50.0,none,,fail
146,GAO20220419t152826p0000,True,2022-04-19,,,,0.0,50.0,none,,fail
147,GAO20220923t162942p0000,True,2022-09-23,,,,0.0,50.0,none,,fail
147,GAO20220428t154635p0000,True,2022-04-28,,,,0.0,50.0,none,,fail
147,GAO20220422t150848p0000,True,2022-04-22,,,,0.0,50.0,none,,fail
147,GAO20220419t152826p0000,True,2022-04-19,,,,0.0,50.0,none,,fail
148,GAO20220923t162942p0000,True,2022-09-23,,,,0.0,50.0,none,,fail
148,GAO20220428t154635p0000,True,2022-04-28,,,,0.0,50.0,none,,fail
148,GAO20220422t150848p0000,True,2022-04-22,,,,0.0,50.0,none,,fail
148,GAO20220419t152826p0000,True,2022-04-19,,,,0.0,50.0,none,,fail
149,GAO20220923t164450p0000,True,2022-09-23,,,,0.0,50.0,none,,fail
149,GAO20220923t163623p0000,True,2022-09-23,,,,0.0,50.0,none,,fail
149,GAO20220428t160140p0000,True,2022-04-28,,,,0.0,50.0,none,,fail
149,GAO20220428t155431p0000,True,2022-04-28,,,,0.0,50.0,none,,fail
149,GAO20220422t153007p0000,True,2022-04-22,,,,0.0,50.0,none,,fail
149,GAO20220422t151917p0000,True,2022-04-22,,,,0.0,50.0,none,,fail
149,GAO20220419t155053p0000,True,2022-04-19,,,,0.0,50.0,none,,fail
149,GAO20220419t154146p0000,True,2022-04-19,,,,0.0,50.0,none,,fail
151,GAO20220923t163623p0000,True,2022-09-23,,,,0.0,50.0,none,,fail
151,GAO20220923t162942p0000,True,2022-09-23,,,,0.0,50.0,none,,fail
151,GAO20220428t155431p0000,True,2022-04-28,,,,0.0,50.0,none,,fail
151,GAO20220428t154635p0000,True,2022-04-28,,,,0.0,50.0,none,,fail
151,GAO20220422t151917p0000,True,2022-04-22,,,,0.0,50.0,none,,fail
151,GAO20220422t150848p0000,True,2022-04-22,,,,0.0,50.0,none,,fail
151,GAO20220419t152826p0000,True,2022-04-19,,,,0.0,50.0,none,,fail
152,GAO20220923t163623p0000,True,2022-09-23,,,,0.0,50.0,none,,fail
152,GAO20220923t162942p0000,True,2022-09-23,,,,0.0,50.0,none,,fail
152,GAO20220428t155431p0000,True,2022-04-28,,,,0.0,50.0,none,,fail
152,GAO20220428t154635p0000,True,2022-04-28,,,,0.0,50.0,none,,fail
152,GAO20220422t151917p0000,True,2022-04-22,,,,0.0,50.0,none,,fail
152,GAO20220422t150848p0000,True,2022-04-22,,,,0.0,50.0,none,,fail
152,GAO20220419t154146p0000,True,2022-04-19,,,,0.0,50.0,none,,fail
152,GAO20220419t152826p0000,True,2022-04-19,,,,0.0,50.0,none,,fail
153,GAO20220923t163623p0000,True,2022-09-23,,,,0.0,50.0,none,,fail
153,GAO20220923t162942p0000,True,2022-09-23,,,,0.0,50.0,none,,fail
153,GAO20220428t155431p0000,True,2022-04-28,,,,0.0,50.0,none,,fail
